"","AAPL","AMD","AMZN","CSCO","META","MSFT","NFLX","QCOM","SBUX","TSLA"
"AAPL",1,0.967909522345835,0.86216292783929,0.751293851594499,0.74696418979578,0.983015151101826,0.729919440226865,0.908324744820083,0.861331888853215,0.942041791774329
"AMD",0.967909522345835,1,0.902728020827525,0.774637519682476,0.814296211910704,0.979730272024714,0.801662989999591,0.928158014672814,0.87135487562771,0.937497947627644
"AMZN",0.86216292783929,0.902728020827525,1,0.868330142821268,0.920294821411552,0.912393520642801,0.941438587855871,0.802181437943237,0.881123883146546,0.805407506054049
"CSCO",0.751293851594499,0.774637519682476,0.868330142821268,1,0.822351989423453,0.827709067743851,0.866982339716574,0.627338740937943,0.843926469379086,0.640898037826989
"META",0.74696418979578,0.814296211910704,0.920294821411552,0.822351989423453,1,0.816638655850818,0.925752618865918,0.682379368915739,0.853232705171274,0.692232971744545
"MSFT",0.983015151101826,0.979730272024714,0.912393520642801,0.827709067743851,0.816638655850818,1,0.809420431611035,0.887015843831562,0.902432236882126,0.915050786882866
"NFLX",0.729919440226865,0.801662989999591,0.941438587855871,0.866982339716574,0.925752618865918,0.809420431611035,1,0.662113983344702,0.841023636198207,0.654821865122398
"QCOM",0.908324744820083,0.928158014672814,0.802181437943237,0.627338740937943,0.682379368915739,0.887015843831562,0.662113983344702,1,0.770479565351508,0.937833200555537
"SBUX",0.861331888853215,0.87135487562771,0.881123883146546,0.843926469379086,0.853232705171274,0.902432236882126,0.841023636198207,0.770479565351508,1,0.774729365621531
"TSLA",0.942041791774329,0.937497947627644,0.805407506054049,0.640898037826989,0.692232971744545,0.915050786882866,0.654821865122398,0.937833200555537,0.774729365621531,1
